# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
559	9903	217720
560	9681	217936
561	9579	217925
562	9395	217945
563	9192	217983
564	8860	217920
565	8675	217934
566	8321	217843
567	7995	217906
568	7592	217991
569	7263	217900
570	7029	217897
571	6876	217886
572	6694	217825
573	6506	217819
574	6395	217764
575	6213	217775
576	5973	217819
577	5752	217764
578	5574	217646
579	5359	217793
580	5137	217561
581	4896	217487
582	4722	217433
583	4620	217345
584	4461	217468
585	4337	217746
586	4192	217614
587	4056	217509
588	3901	217477
589	3746	217392
590	3593	217531
591	3500	217339
592	3389	217399
593	3259	217416
594	3162	217326
595	3051	217422
596	2998	217533
597	2865	217544
598	2844	217551
599	2764	217512
600	2660	217713
601	2535	217532
602	2379	217590
603	2250	217398
604	2094	217688
605	1949	217694
606	1816	217741
607	1706	217528
608	1554	217417
609	1424	217268
610	1297	217553
611	1186	217589
612	1073	217662
613	983	217641
614	848	217506
615	743	217572
616	668	217825
617	579	217793
618	485	217708
619	429	217687
620	365	217737
621	279	217780
622	232	217850
623	177	217863
624	128	217684
625	107	217519
626	78	217383
627	56	217646
628	45	218064
629	36	217952
630	25	217859
631	18	217813
632	12	217592
633	12	217835
634	9	217878
635	6	218142
636	3	218067
637	1	218354
638	1	218448
639	1	218407
640	1	218405
641	1	218581
642	0	218563
643	1	218656
644	1	218492
645	1	218393
646	0	218342
647	0	218312
648	0	218526
649	0	218509
650	0	218789
651	0	218994
652	0	219050
653	0	218832
654	0	218556
655	0	218460
656	0	218577
657	0	218555
658	0	218587
659	0	218535
660	0	218248
661	0	218383
662	0	218484
663	0	218316
664	0	218148
665	0	218144
666	0	218200
667	0	218318
668	0	218253
669	0	218024
670	0	217985
671	0	218063
672	0	218075
673	0	217970
674	0	217882
675	0	217874
676	0	217598
677	0	217714
678	0	217847
679	0	218098
680	0	217974
681	0	217832
682	0	217684
683	0	217724
684	0	217786
685	0	217598
686	0	217566
687	0	217821
688	0	217897
689	0	217916
690	0	218086
691	0	217758
692	0	217608
693	0	217688
694	0	217594
695	0	217787
696	0	217539
697	0	217461
698	0	217365
699	0	217483
700	0	217386
701	0	217298
702	0	217126
703	0	217252
704	0	217252
705	0	217490
706	0	217517
707	0	217696
708	0	217766
709	0	217878
710	0	217649
711	0	217811
712	0	217784
713	0	217902
714	0	217926
715	0	218008
716	0	217926
717	0	217923
718	0	217982
719	0	217993
720	0	217943
721	0	217760
722	0	217603
723	0	217654
724	0	217852
725	0	217937
726	0	217982
727	0	218130
728	0	217999
729	0	218000
730	0	217860
731	0	217747
732	0	217529
733	0	217415
734	0	217308
735	0	217231
736	0	217360
737	0	217236
738	0	217300
739	0	217560
740	0	217738
741	0	217747
742	0	217628
743	0	217554
744	0	217669
745	0	217531
746	0	217517
747	0	217236
748	0	217337
749	0	217553
750	0	217344
751	0	217333
752	0	217308
753	0	217534
754	0	217429
755	0	217515
756	0	217418
757	0	217529
758	0	217419
759	0	217315
760	0	217059
761	0	217334
762	0	217177
763	0	217235
764	0	217226
765	0	217350
766	0	217531
767	0	217631
768	0	217677
769	0	217624
770	0	217681
771	0	217736
772	0	217832
773	0	217810
774	0	217757
775	0	217715
776	0	217621
777	0	217573
778	0	217604
779	0	217423
780	0	217365
781	0	217213
782	0	217270
783	0	217258
784	0	217376
785	0	217465
786	0	217347
787	0	217253
788	0	217262
789	0	217365
790	0	217541
791	0	217800
792	0	217865
793	0	218025
794	0	218007
795	0	218115
796	0	217965
797	0	217992
798	0	217686
799	0	217813
800	0	217888
801	0	217938
802	0	218117
803	0	218297
804	0	218269
805	6	218165
806	13	218211
807	15	218266
808	22	218176
809	31	217947
810	39	217487
811	49	217553
812	73	217871
813	106	217574
814	133	217544
815	161	217550
816	218	217391
817	273	217182
818	355	217050
819	422	216912
820	525	216889
821	642	216779
822	754	216834
823	873	216812
824	1038	216786
825	1229	217072
826	1395	217289
827	1590	217419
828	1803	217485
829	2052	217695
830	2250	217797
831	2493	217951
832	2695	218027
833	2920	218155
834	3092	218166
835	3337	218079
836	3495	218164
837	3703	218250
838	3889	218172
839	3988	218081
840	4181	218066
841	4312	218299
842	4470	218390
843	4612	218357
844	4815	218398
845	4951	218366
846	5138	218512
847	5330	218269
848	5481	218234
849	5674	218184
850	5871	218199
851	6042	218219
852	6213	218047
853	6382	217880
854	6579	218078
855	6800	217863
856	7097	217943
857	7310	218157
858	7597	217916
859	7794	218159
860	7967	218051
861	7997	218216
862	8109	218034
863	8268	217953
864	8407	217751
865	8645	217791
866	8841	217860
867	8943	217756
868	9096	217831
869	9267	217797
870	9444	217704
871	9597	217871
872	9749	217906
873	9936	218034
874	9969	218225
875	10106	218042
876	10331	218160
877	10420	217931
878	10605	217851
879	10735	218049
880	10905	218195
881	11032	218246
882	11177	218164
883	11227	218085
884	11437	218077
885	11369	218126
886	11519	218003
887	11594	217974
888	11524	217810
889	11623	217758
890	11695	217537
891	11685	217746
892	11742	217829
893	11681	217818
894	11771	217986
895	11762	217967
896	11625	217846
897	11725	217789
